shards in the file:	1
""
\	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99
30	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	100.0%	54.8387096774%	30.8467741935%	17.7602639296%	10.4472140762%	6.26832844575%	3.83064516129%	2.38121185702%	1.50392327812%	0.964053383408%	0.626634699215%	0.412661875093%	0.275107916729%	0.185537897329%	0.126503111815%	0.0871465881392%	0.0606237134881%	0.0425655860661%	0.0301506234635%	0.0215361596168%	0.0155060349241%	0.0112494763175%	0.00822077115508%	0.00604924669902%	0.00448092348076%	0.00334032477657%	0.00250524358242%	0.00188992059727%	0.00143373286689%	0.00109352506797%	0.000838369218776%	0.000645956611188%	0.00050009544092%	0.000388963120715%	0.000303877438059%	0.000238426912939%	0.000187851507164%	0.000148598953428%	0.000118005051252%	9.40619973745e-05%	7.52495978996e-05%	6.0411649018e-05%	4.86649394867e-05%	3.93319373934e-05%	3.18907600487e-05%	2.59378181729e-05%	2.11597990358e-05%	1.73125628475e-05%	1.42051797723e-05%	1.16878061418e-05%	9.64244006695e-06%	7.97584548748e-06%	6.6141157701e-06%	5.49848178478e-06%	4.58206815399e-06%	3.82737457568e-06%	3.20431359825e-06%	2.68867692726e-06%	2.26093287065e-06%	1.90528050898e-06%	1.60890354091e-06%	1.36137991924e-06%	1.15421340979e-06%	9.80460853475e-07%	8.34434768915e-07%	7.11465434548e-07%	6.07710058677e-07%	5.19999328558e-07%	4.45713710193e-07%	3.82683488549e-07%
31	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	100.0%	56.25%	32.3863636364%	19.050802139%	11.4304812834%	6.98529411765%	4.34220985692%	2.74244833068%	1.75797969916%	1.14268680445%	0.752501066346%	0.501667377564%	0.338333812776%	0.230682145074%	0.158914366607%	0.110549124596%	0.0776195981206%	0.0549805486688%	0.0392718204777%	0.0282757107439%	0.0205137509319%	0.0149908179887%	0.0110309792747%	0.00817109575903%	0.00609118047491%	0.00456838535618%	0.00344632579502%	0.00261445405139%	0.00199407512394%	0.00152879092836%	0.00117792087923%	0.000911938745207%	0.000709285690716%	0.000554129445872%	0.0004347784883%	0.000342552748357%	0.000270974562133%	0.000215185681694%	0.000171524818742%	0.000137219854993%	0.000110162418797%	8.87419484758e-05%	7.17229446585e-05%	5.81537389123e-05%	4.72983743153e-05%	3.85855158888e-05%	3.15699675454e-05%	2.59035631142e-05%	2.13130582585e-05%	1.75832730633e-05%	1.45441888301e-05%	1.20610346396e-05%	1.00266432546e-05%	8.35553604551e-06%	6.9793301086e-06%	5.84316009092e-06%	4.9028814556e-06%	4.12287758766e-06%	3.47433504578e-06%	2.93388292755e-06%	2.48251632331e-06%	2.1047421002e-06%	1.7878992034e-06%	1.52161634331e-06%	1.29737814535e-06%	1.10817716582e-06%	9.48234069724e-07%	8.12772059764e-07%	6.97834596767e-07%
32	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	100.0%	57.5757575758%	33.8680926916%	20.320855615%	12.4183006536%	7.71948419007%	4.87546369899%	3.12529724294%	2.03144320791%	1.3377796735%	0.891853115669%	0.601482333824%	0.410101591243%	0.282514429523%	0.19653177706%	0.137990396659%	0.0977431976334%	0.0698165697381%	0.0502679302115%	0.0364688905456%	0.026650343091%	0.0196106298217%	0.0145263924605%	0.0108287652887%	0.00812157396655%	0.00612680141336%	0.00464791831359%	0.00354502244257%	0.0027178505393%	0.00209408156307%	0.00162122443592%	0.00126095233905%	0.000985119014884%	0.000772939534755%	0.000608982663746%	0.000481732554904%	0.000382552323012%	0.000304933011096%	0.000243946408877%	0.000195844300084%	0.000157763463957%	0.000127507457171%	0.000103384424733%	8.40859987828e-05%	6.85964726912e-05%	5.61243867474e-05%	4.60507788696e-05%	3.78898813484e-05%	3.12591521125e-05%	2.5856335698e-05%	2.14418393593e-05%	1.78251435637e-05%	1.48542863031e-05%	1.24076979708e-05%	1.03878401616e-05%	8.71623369884e-06%	7.32956015585e-06%	6.17659563695e-06%	5.2157918712e-06%	4.41336235255e-06%	3.74176373369e-06%	3.1784874727e-06%	2.70509572145e-06%	2.30645003618e-06%	1.97009273924e-06%	1.68574945729e-06%	1.44492810625e-06%	1.2405948387e-06%
33	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	100.0%	58.8235294118%	35.2941176471%	21.568627451%	13.4075251722%	8.46791063509%	5.42814784301%	3.52829609796%	2.32351206451%	1.549008043%	1.04467984296%	0.712281711107%	0.49068295654%	0.341344665419%	0.239667531039%	0.169764501153%	0.121260357966%	0.0873074577357%	0.0633407046318%	0.0462874380001%	0.034060567585%	0.025230050063%	0.0188078555015%	0.0141058916261%	0.0106412866653%	0.00807270022886%	0.00615714424235%	0.00472047725247%	0.00363708903059%	0.00281581086239%	0.00219007511519%	0.00171099618375%	0.00134247392878%	0.00105770673177%	0.000836693384833%	0.000664432982073%	0.000529620492957%	0.000423696394366%	0.000340150626462%	0.000274010226873%	0.000221460320349%	0.000179562421905%	0.000146044103149%	0.000119141242043%	9.74791980349e-05%	7.9982931721e-05%	6.58087412894e-05%	5.42922115638e-05%	4.4908372528e-05%	3.72410894135e-05%	3.09594598739e-05%	2.57995498949e-05%	2.15502122651e-05%	1.80420381755e-05%	1.51387216875e-05%	1.27302886917e-05%	1.07277713694e-05%	9.05900693419e-06%	7.6653135597e-06%	6.49885280062e-06%	5.52053087364e-06%	4.69832414778e-06%	4.00593953653e-06%	3.42174002078e-06%	2.92788063634e-06%	2.50961197401e-06%	2.15471735142e-06%
34	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	100.0%	60.0%	36.6666666667%	22.7927927928%	14.3954480797%	9.22785133311%	5.99810336652%	3.94997050966%	2.63331367311%	1.77595573303%	1.21087890888%	0.834161026119%	0.580285931213%	0.407434802766%	0.28859965196%	0.206142608543%	0.148422678151%	0.107679197874%	0.0786886446002%	0.0579029648945%	0.042891085107%	0.0319733543525%	0.0239800157644%	0.018090187331%	0.0137235903891%	0.010467145212%	0.0080248113292%	0.006183051352%	0.00478687846607%	0.00372312769583%	0.00290869351237%	0.00228220567893%	0.00179810144401%	0.00142237875422%	0.00112953606952%	0.000900354838027%	0.000720283870421%	0.000578256064986%	0.000465817385683%	0.000376482544593%	0.000305256117238%	0.000248274975353%	0.000202540111473%	0.000165714636659%	0.000135970983926%	0.000111874860192%	9.22967596584e-05%	7.63442332977e-05%	6.33098520029e-05%	5.26310817856e-05%	4.38592348213e-05%	3.66353608507e-05%	3.06714648983e-05%	2.57358268687e-05%	2.16414907759e-05%	1.8237211328e-05%	1.54003117881e-05%	1.30310330515e-05%	1.1048049761e-05%	9.38490248519e-06%	7.98715105123e-06%	6.8100972121e-06%	5.81695803533e-06%	4.97739708178e-06%	4.26634035581e-06%	3.66301949741e-06%
35	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	100.0%	61.1111111111%	37.987987988%	23.9924134661%	15.3797522219%	9.99683894421%	6.58328418277%	4.38885612185%	2.95992622171%	2.0181315148%	1.39026837686%	0.967143218688%	0.679058004611%	0.480999419933%	0.343571014238%	0.247371130251%	0.17946532979%	0.131147741%	0.0965049414908%	0.0714851418451%	0.0532889239209%	0.0399666929407%	0.0301503122184%	0.0228726506484%	0.01744524202%	0.0133746855487%	0.0103050855867%	0.00797813077678%	0.00620521282638%	0.00484782252061%	0.00380367613156%	0.00299683574001%	0.00237063125703%	0.00188256011587%	0.00150059139671%	0.00120047311737%	0.00096376010831%	0.000776362309472%	0.000627470907656%	0.000508760195396%	0.000413791625589%	0.000337566852454%	0.000276191061099%	0.000226618306543%	0.00018645810032%	0.000153827932764%	0.000127240388829%	0.000105516420005%	8.77184696426e-05%	7.30987247022e-05%	6.10589347512e-05%	5.11191081638e-05%	4.28930447811e-05%	3.60691512932e-05%	3.03953522134e-05%	2.56671863135e-05%	2.17183884192e-05%	1.84134162684e-05%	1.5641504142e-05%	1.33119184187e-05%	1.13501620202e-05%	9.69493005889e-06%	8.29566180297e-06%	7.11056725969e-06%	6.10503249569e-06%
36	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	100.0%	62.1621621622%	39.2603129445%	25.1668672721%	16.3584637269%	10.7726468445%	7.18176456302%	4.84351563553%	3.30239702422%	2.27498461669%	1.58259799422%	1.11118582573%	0.78708995989%	0.562207114207%	0.404789122229%	0.293670539656%	0.214605394364%	0.157917176985%	0.116975686656%	0.0872000573251%	0.0654000429938%	0.0493368745392%	0.0374279737883%	0.0285467596691%	0.0218858490796%	0.0168628673236%	0.0130551230893%	0.010153984625%	0.00793280048827%	0.00622419730618%	0.00490391302911%	0.00387921478423%	0.00308055291688%	0.00245551319462%	0.00196441055569%	0.00157706199542%	0.00127041105186%	0.00102677057616%	0.000832516683376%	0.000677113569146%	0.000552382122198%	0.000451949009071%	0.000370829956161%	0.000305113255069%	0.000251718435432%	0.000208211545357%	0.000172663232735%	0.000143539313961%	0.000119616094967%	9.9914620502e-05%	8.36494497226e-05%	7.01886187328e-05%	5.90222475708e-05%	4.97378490765e-05%	4.20008503312e-05%	3.55391810495e-05%	3.01310448029e-05%	2.5595188596e-05%	2.17831392306e-05%	1.85729923966e-05%	1.58644310055e-05%	1.35747193139e-05%	1.16354736977e-05%	9.99005317476e-06%
37	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	100.0%	63.1578947368%	40.4858299595%	26.3157894737%	17.3299101412%	11.5532734275%	7.79174254411%	5.31255173462%	3.65975786163%	2.54591851244%	1.7875598066%	1.26618819634%	0.904420140246%	0.651182500977%	0.472426520317%	0.345234764847%	0.254040676019%	0.188178278533%	0.140278353088%	0.105208764816%	0.079368015563%	0.060210218703%	0.0459230481633%	0.0352076702585%	0.0271272213467%	0.0210017197523%	0.0163346709185%	0.012761461655%	0.0100128391447%	0.00788890356858%	0.00624047595723%	0.00495567208368%	0.00395017340004%	0.00316013872003%	0.00253701277524%	0.00204370473561%	0.00165176136165%	0.00133926596891%	0.00108926965471%	0.000888614718318%	0.000727048405897%	0.000596552538172%	0.00049083436685%	0.000404938352651%	0.000334949007749%	0.000277762591792%	0.000230911070285%	0.000192425891904%	0.00016073221559%	0.000134566506076%	0.000112912125788%	9.49488330486e-05%	8.00130615578e-05%	6.75665853155e-05%	5.71717260362e-05%	4.84716807698e-05%	4.11748686109e-05%	3.5042441371e-05%	2.98782921163e-05%	2.55210411827e-05%	2.18375919398e-05%	1.87179359484e-05%	1.60709551072e-05%
38	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	100.0%	64.1025641026%	41.6666666667%	27.4390243902%	18.2926829268%	12.3369256948%	8.41154024648%	5.79461661424%	4.03103764469%	2.83030302712%	2.00479797755%	1.43199855539%	1.03103895988%	0.748008657168%	0.546621711008%	0.402231070364%	0.29794894101%	0.22210739239%	0.166580544292%	0.125666024641%	0.0953328462797%	0.0727114929252%	0.0557454779093%	0.042951433799%	0.0332527229412%	0.0258632289542%	0.0202056476205%	0.0158536619792%	0.0124907639836%	0.00988075359895%	0.00784648079917%	0.00625444121673%	0.00500355297338%	0.00401693689412%	0.00323586583138%	0.00261528882262%	0.00212050445077%	0.0017246769533%	0.001406973304%	0.001151159976%	0.000944541518772%	0.000777154414179%	0.000641152391698%	0.000530335928935%	0.000439790770337%	0.000365609194617%	0.000304674328848%	0.000254492674685%	0.00021306363462%	0.000178777532497%	0.000150335652327%	0.000126687347467%	0.00010698042675%	9.05218995573e-05%	7.67468278855e-05%	6.51935419673e-05%	5.54838655041e-05%	4.73072958508e-05%	4.04083152059e-05%	3.45761872381e-05%	2.96367319183e-05%	2.54456789198e-05%
39	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	100.0%	65.0%	42.8048780488%	28.5365853659%	19.2456040839%	13.1220027845%	9.03960191822%	6.28841872572%	4.41527272231%	3.12748484497%	2.23391774641%	1.60842077741%	1.16689350518%	0.852729869172%	0.627480469768%	0.464800347976%	0.346487532128%	0.259865649096%	0.196038998441%	0.148719240196%	0.113429928963%	0.0869629455386%	0.0670042367264%	0.0518742477882%	0.0403466371686%	0.031520810288%	0.0247317126875%	0.0194855918144%	0.0154139756144%	0.0122405100467%	0.00975692829809%	0.00780554263848%	0.00626642155483%	0.00504795069695%	0.00407985056329%	0.00330798694321%	0.00269049604714%	0.00219487835425%	0.00179580956257%	0.00147348476928%	0.00121236088612%	0.00100019773105%	0.000827324049139%	0.000686073601725%	0.000570350343603%	0.000475291953002%	0.000397008572508%	0.000332379270007%	0.000278892950695%	0.00023452361763%	0.000197632262048%	0.000166889465729%	0.000141214163309%	0.000119725051501%	0.000101701925469%	8.65548301863e-05%	7.37993815273e-05%	6.30369717212e-05%	5.39388520914e-05%	4.62333017926e-05%	3.96952591149e-05%
40	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	100.0%	65.8536585366%	43.9024390244%	29.6086216676%	20.1876965916%	13.9070798742%	9.67449034726%	6.7927272651%	4.81151514611%	3.43679653294%	2.47449350371%	1.7952207772%	1.31189210642%	0.965354568874%	0.715077458425%	0.533057741735%	0.399793306301%	0.30159845914%	0.228798831071%	0.174507583021%	0.133789146982%	0.103083441118%	0.0798065350588%	0.0620717494902%	0.0484935542892%	0.03804878875%	0.0299778335606%	0.0237138086375%	0.018831553918%	0.0150106589201%	0.0120085271361%	0.0096406485459%	0.00776607799531%	0.00627669317429%	0.00508921068185%	0.00413922468791%	0.00337673592961%	0.00276278394241%	0.00226689964505%	0.00186517059403%	0.00153876574008%	0.00127280622944%	0.00105549784881%	0.000877462067081%	0.000731218389234%	0.000610782419243%	0.000511352723087%	0.000429066077993%	0.000360805565585%	0.00030404963392%	0.000256753024199%	0.000217252558937%	0.000184192386925%	0.000156464500721%	0.00013316127721%	0.000113537510042%	9.69799564942e-05%	8.29828493713e-05%	7.1128156604e-05%	6.10696294075e-05%
41	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	100.0%	66.6666666667%	44.9612403101%	30.6553911205%	21.1181583275%	14.6908927495%	10.3148821433%	7.3063748515%	5.21883917964%	3.75756420934%	2.72607599501%	1.99213245789%	1.46590878977%	1.08585836279%	0.809458052264%	0.607093539198%	0.45798284536%	0.347435261997%	0.264992996439%	0.20316129727%	0.15653411429%	0.121187701386%	0.0942571010777%	0.0736383602169%	0.057777790324%	0.0455218954068%	0.0360098575606%	0.028596063357%	0.0227939635454%	0.0182351708363%	0.0146395033475%	0.0117929332521%	0.00953127482021%	0.00772806066504%	0.0062854893409%	0.00512763604126%	0.00419533857921%	0.00344232909064%	0.00283229608723%	0.00233664427197%	0.0019327798299%	0.00160279302967%	0.00133244239816%	0.00111036866513%	0.000927484414406%	0.000776498579503%	0.0006515447851%	0.000547889932925%	0.000461704999656%	0.000389884221932%	0.000329902033942%	0.000279699550516%	0.000237594241836%	0.000202207865393%	0.000172408811545%	0.000147265859862%	0.00012601099349%	0.000108009422991%	9.27353631743e-05%
42	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	100.0%	67.4418604651%	45.9830866808%	31.6772374912%	22.0363391243%	15.4723232149%	10.9595622772%	7.82825876946%	5.63634631401%	4.08911399252%	2.98819868684%	2.19886318466%	1.62878754419%	1.2141870784%	0.910640308797%	0.68697426804%	0.521152892996%	0.397489494658%	0.304741945904%	0.234801171435%	0.181781552078%	0.141385651616%	0.110457540325%	0.0866666854861%	0.0682828431102%	0.0540147863409%	0.0428940950354%	0.0341909453181%	0.0273527562545%	0.0219592550212%	0.0176893998782%	0.0142969122303%	0.0115920909976%	0.00942823401135%	0.00769145406189%	0.00629300786882%	0.00516349363595%	0.00424844413085%	0.00350496640795%	0.00289916974485%	0.00240418954451%	0.00199866359724%	0.0016655529977%	0.00139122662161%	0.00116474786925%	0.00097731717765%	0.000821834899387%	0.000692557499484%	0.000584826332897%	0.000494853050913%	0.000419549325774%	0.000356391362754%	0.000303311798089%	0.000258613217318%	0.000220898789792%	0.000189016490235%	0.000162014134487%	0.000139103044761%
43	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	100.0%	68.1818181818%	46.9696969697%	32.674571805%	22.941720629%	16.2503854456%	11.6074181754%	8.3573410863%	6.06316902339%	4.43077736325%	3.26038334277%	2.41509877242%	1.80034635762%	1.35025976822%	1.01861701813%	0.772743944787%	0.589380974838%	0.451858747375%	0.348153461093%	0.269538163426%	0.209640793776%	0.163781870138%	0.128505775031%	0.101246974267%	0.0800908900917%	0.0636015891905%	0.05069691892%	0.040557535136%	0.0325602746866%	0.0262291101642%	0.0211988698588%	0.0171882728584%	0.0139797952582%	0.0114045698159%	0.00933101166756%	0.00765621470159%	0.00629941715953%	0.00519701915661%	0.00429876893201%	0.00356483277289%	0.00296353567867%	0.00246961306556%	0.00206285326652%	0.00172703994407%	0.00144912547031%	0.00121858278185%	0.00102689560268%	0.00086715628671%	0.000733747627216%	0.000622090379596%	0.000528442365463%	0.000449738183373%	0.000383460977402%	0.000327539584865%	0.000280265830348%	0.000240227854584%	0.000206256238784%
44	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	100.0%	68.8888888889%	47.922705314%	33.6478569226%	23.8338986535%	17.0242133239%	12.2574335932%	8.89264790097%	6.4984734661%	4.78189556939%	3.54214486622%	2.64050799118%	1.98038099338%	1.49397162659%	1.13335778569%	0.864425429762%	0.662726162817%	0.510625076269%	0.395322639692%	0.307473164205%	0.240213409535%	0.188475136712%	0.148495562258%	0.117466638801%	0.0932823308127%	0.0743554810826%	0.0594843848661%	0.0477550695404%	0.0384693615742%	0.0310916757928%	0.0252094668591%	0.020503699712%	0.0167267023967%	0.0136854837791%	0.0112291148957%	0.00923914516731%	0.00762229476303%	0.00630486110029%	0.00522842140024%	0.00434651899538%	0.00362209916282%	0.00302551812423%	0.00253299191796%	0.00212538402312%	0.00178725474671%	0.0015061135506%	0.00127182922051%	0.00107616318658%	0.000912399223408%	0.00077504880268%	0.000659616002281%	0.000562409433524%	0.000480391391135%	0.000411056551177%	0.000352334186723%	0.000302509150217%
45	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	100.0%	69.5652173913%	48.8436632747%	34.5975948196%	24.7125677283%	17.7930487644%	12.9086824369%	9.43326793466%	6.94146131041%	5.14182319289%	3.83299547107%	2.8747466033%	2.16866849021%	1.64519678568%	1.25481110772%	0.962021849251%	0.741229949423%	0.573855444714%	0.446332012556%	0.348696884809%	0.273592940389%	0.215558074246%	0.170516088582%	0.135409835051%	0.107935375765%	0.086348300612%	0.0693218751393%	0.05584262164%	0.0451330777638%	0.0365943873761%	0.0297634350659%	0.0242806970274%	0.0198660248406%	0.0163003280743%	0.0134116623397%	0.0110646214302%	0.00915221772622%	0.00758964396809%	0.00630946305781%	0.00525788588151%	0.00439188114808%	0.00367692375188%	0.00308523487227%	0.00259440205168%	0.00218629386378%	0.00184620370719%	0.00156217236762%	0.00132445048559%	0.0011250708426%	0.000957507100085%	0.000816400790599%	0.00069734234197%	0.000596694993644%	0.000511452851695%	0.000439126185799%
46	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	100.0%	70.2127659574%	49.7340425532%	35.5243161094%	25.5775075988%	18.556231003%	13.5603226561%	9.97835063371%	7.39137083979%	5.50993098966%	4.13244824224%	3.11746095467%	2.36497037941%	1.80379096735%	1.3829064083%	1.0655180523%	0.824917201777%	0.641602268049%	0.501251771913%	0.393289851809%	0.309864731728%	0.245116877337%	0.194651637885%	0.155157102662%	0.12412568213%	0.0996501955127%	0.0802737686074%	0.0648787992855%	0.0526044318531%	0.0427849379072%	0.0349035019769%	0.0285574107084%	0.0234317216069%	0.0192792646132%	0.0159053933059%	0.0131563129814%	0.0109101132041%	0.0090698531456%	0.00755821095467%	0.00631332915037%	0.00528557789333%	0.00443502512889%	0.00372945294929%	0.00314279742918%	0.00265391782908%	0.00224562277846%	0.00190389757304%	0.00161728933624%	0.00137641645637%	0.00117357613649%	0.00100242961658%	0.000857749053363%	0.000735213474312%	0.000631243892086%
47	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	100.0%	70.8333333333%	50.5952380952%	36.4285714286%	26.4285714286%	19.3131868132%	14.2115902965%	10.5271039233%	7.84747747012%	5.88560810259%	4.44002014757%	3.36829114643%	2.56903562016%	1.96959397546%	1.51755601388%	1.17488207526%	0.913797169645%	0.713904038785%	0.56014009197%	0.441322496704%	0.349105855601%	0.277231120625%	0.220981328034%	0.176785062427%	0.141926036033%	0.114329306805%	0.0924031383763%	0.0749214635483%	0.060936123686%	0.0497110482701%	0.0406726758574%	0.0333724519855%	0.0274583465704%	0.0226531359206%	0.0187377790948%	0.0155386460786%	0.0129176696316%	0.010764724693%	0.00899171121416%	0.00752794427232%	0.00631655094114%	0.0053116451096%	0.00447610542944%	0.00377982236263%	0.00319831122992%	0.00271161169493%	0.00230341208494%	0.00196035071059%	0.00167145692166%	0.00142770278725%	0.00122164259115%	0.00104712222099%	0.000899044331152%
48	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	100.0%	71.4285714286%	51.4285714286%	37.3109243697%	27.265675501%	20.0634215951%	14.8617937741%	11.0787917225%	8.30909379189%	6.26826373774%	4.75523455967%	3.62687381669%	2.78060325947%	2.14243201959%	1.65865704742%	1.29006659244%	1.00786452534%	0.790786012193%	0.623043524758%	0.492855325555%	0.39138511147%	0.311973639578%	0.249578911662%	0.200366168517%	0.161406080195%	0.130451489472%	0.105771477951%	0.0860274687331%	0.0701803034402%	0.0574202482692%	0.0471140498619%	0.03876472457%	0.0319808977702%	0.0264533351926%	0.021936912111%	0.0182367100682%	0.0151972583901%	0.0126941805376%	0.0106276860315%	0.00891748368161%	0.0074987930959%	0.00631920766509%	0.00533621980607%	0.00451526291283%	0.00382815768697%	0.00325187588463%	0.00276755394436%	0.0023597038894%	0.00201558040553%	0.00172467189339%	0.00147829019434%	0.00126923905574%
49	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	100.0%	72.0%	52.2352941176%	38.1719457014%	28.0887902331%	20.8065112838%	15.5103084115%	11.6327313086%	8.77556923284%	6.65732838353%	5.07762334337%	3.89284456325%	2.99940482742%	2.32211986639%	1.80609322942%	1.41101033548%	1.10710041707%	0.872260934661%	0.689997455777%	0.547939156058%	0.436763095409%	0.349410476327%	0.280512635924%	0.225968512272%	0.182632085261%	0.148080069131%	0.120438456226%	0.0982524248163%	0.0803883475769%	0.0659596698067%	0.0542706143979%	0.0447732568783%	0.0370346692697%	0.0307116769554%	0.0255313940954%	0.0212761617462%	0.0177718527527%	0.0148787604441%	0.0124844771543%	0.0104983103343%	0.00884689073112%	0.0074707077285%	0.00632136807796%	0.00535942076175%	0.00455262623848%	0.00387457552211%	0.00330358544517%	0.00282181256775%	0.00241454065075%	0.00206960627207%	0.00177693467804%
50	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	100.0%	72.5490196078%	53.0165912519%	39.012208657%	28.8979323386%	21.542095016%	16.156571262%	12.1882906012%	9.24628942157%	7.05225464357%	5.40672856007%	4.16584003809%	3.2251664811%	2.50846281863%	1.95973657706%	1.53763946815%	1.21147352036%	0.95832979969%	0.761026605636%	0.60661541029%	0.485292328232%	0.389600883228%	0.313845155934%	0.253655673974%	0.205666762682%	0.167275633648%	0.136461701134%	0.111650482746%	0.0916106525093%	0.0753758533305%	0.0621850789976%	0.0514370406524%	0.0426551068824%	0.035460269577%	0.0295502246475%	0.0246831288232%	0.0206649450613%	0.0173395516031%	0.0145809865754%	0.0122873482377%	0.0103759829563%	0.00877967788606%	0.00744363994688%	0.00632309199788%	0.00538135489182%	0.00458831311829%	0.00391918412187%	0.0033535286816%	0.00287445315566%	0.00246796483061%
51	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	100.0%	73.0769230769%	53.7735849057%	39.8322851153%	29.693157995%	22.2698684963%	16.800076234%	12.7448854189%	9.72067531952%	7.45251774497%	5.74210383628%	4.44549974422%	3.45761091217%	2.70125852513%	2.11944899664%	1.66986890645%	1.32094107525%	1.04898261858%	0.836145565535%	0.668916452428%	0.537017433639%	0.432597377098%	0.349633496559%	0.283486618831%	0.23056911665%	0.188095858319%	0.153896611352%	0.126274142648%	0.103896446483%	0.0857145683481%	0.070899704683%	0.0587948770542%	0.0488776688764%	0.0407313907303%	0.0340226910806%	0.0284841134628%	0.0239004630205%	0.0200981166309%	0.0169366151384%	0.0143020305613%	0.0121017181673%	0.0102601523592%	0.00871561329438%	0.00741754322926%	0.00632443159547%	0.00540211865447%	0.00462243142599%	0.00396208407942%	0.00340178936112%
52	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	100.0%	73.5849056604%	54.5073375262%	40.6327425195%	30.4745568897%	22.9895780045%	17.4403695206%	13.301976753%	10.1981821773%	7.85761577597%	6.08331543946%	4.73146756402%	3.69645903439%	2.90029862699%	2.28508376672%	1.80760357666%	1.43544989911%	1.14419919494%	0.915359355954%	0.734865961822%	0.591975358134%	0.478445837396%	0.387929057348%	0.31551563331%	0.257394332437%	0.210595362903%	0.172796195203%	0.14217408466%	0.117293619845%	0.0970206485136%	0.0804561475478%	0.066885231094%	0.0557376925783%	0.0465573667419%	0.0389782605281%	0.0327058967649%	0.027502685916%	0.0231764207157%	0.0195711997155%	0.0165602459131%	0.0140402084915%	0.0119266287186%	0.0101503223137%	0.00865448534118%	0.00739237289559%	0.00632543247767%	0.00542179926657%	0.00465508017837%
53	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	100.0%	74.0740740741%	55.2188552189%	41.4141414141%	31.2422470317%	23.7010149896%	18.077045331%	13.8590680871%	10.6782983622%	8.26706969978%	6.42994309983%	5.02339304674%	3.94143146744%	3.10537024708%	2.45648691187%	1.95073960648%	1.55493736749%	1.24394989399%	0.998663999399%	0.804479332849%	0.65019562518%	0.527185642037%	0.428777655524%	0.349792297927%	0.286193698304%	0.234825598609%	0.193210935564%	0.15939902184%	0.131848573621%	0.109337841539%	0.0908953140508%	0.0757460950423%	0.0632702676236%	0.0529704566151%	0.0444464750908%	0.0373754449627%	0.0314961614855%	0.0265967585877%	0.0225049495742%	0.0190802833347%	0.0162079826176%	0.0137940277597%	0.0117612236688%	0.0100460452171%	0.00859610054657%	0.00736808618278%	0.00632613460138%
